Ticker,Name,Account,Shares,Total_Cost
105190.KS,ACE 200,ISA,96,4392192
411060.KS,ACE KRX금현물,ISA,265,7022235
365780.KS,ACE 국고채10년,ISA,58,5197380
283580.KS,KODEX 차이나CSI300,ISA,268,3950320
360750.KS,TIGER 미국S&P500,ISA,321,7423125
329750.KS,TIGER 미국달러단기채권액티브,ISA,401,5234654
105190.KS,ACE 200,개인연금,14,705264
411060.KS,ACE KRX금현물,개인연금,26,648934
365780.KS,ACE 국고채10년,개인연금,0,0
283580.KS,KODEX 차이나CSI300,개인연금,0,0
360750.KS,TIGER 미국S&P500,개인연금,5,120165
329750.KS,TIGER 미국달러단기채권액티브,개인연금,4,51940
105190.KS,ACE 200,DC연금,8,468792
411060.KS,ACE KRX금현물,DC연금,3,82440
365780.KS,ACE 국고채10년,DC연금,10,910300
283580.KS,KODEX 차이나CSI300,DC연금,31,460598
360750.KS,TIGER 미국S&P500,DC연금,54,1202850
329750.KS,TIGER 미국달러단기채권액티브,DC연금,48,629664
